,SH,Category,Weight,Filling start,Alt filling start,Filling end,Pickup,Plate,Arrival,Unload,trip_id
252,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,13320kg,2021-02-25T06:10:00Z,,2021-02-25T08:34:00Z,2021-02-25T12:33:00Z,JJV-660,2021-02-25T14:35:00Z,2021-02-25T16:01:00Z,139.0
253,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,13500kg,2021-02-25T10:27:00Z,,2021-02-25T12:41:00Z,2021-02-25T12:34:00Z,JJV-660,2021-02-25T14:35:00Z,2021-02-25T16:01:00Z,139.0
254,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,14560kg,2021-02-25T12:48:00Z,,2021-02-25T14:36:00Z,2021-02-25T17:59:00Z,JJV-660,2021-02-25T21:23:00Z,2021-02-25T21:27:00Z,140.0
255,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,13740kg,2021-02-25T14:37:00Z,,2021-02-25T16:39:00Z,2021-02-25T17:59:00Z,JJV-660,2021-02-25T21:23:00Z,2021-02-25T21:28:00Z,140.0
256,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,14400kg,2021-02-25T16:40:00Z,,2021-02-25T18:41:00Z,2021-02-26T07:41:00Z,IMV-333,2021-02-26T07:40:00Z,2021-02-26T10:36:00Z,141.0
257,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,16260kg,2021-02-25T18:41:00Z,,2021-02-26T06:18:00Z,2021-02-26T07:42:00Z,IMV-333,2021-02-26T07:40:00Z,2021-02-26T10:37:00Z,142.0
258,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,15820kg,2021-02-24T06:33:00Z,,2021-02-26T06:18:00Z,2021-02-26T07:42:00Z,IMV-333,2021-02-26T07:40:00Z,2021-02-26T10:37:00Z,143.0
259,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,13540kg,2021-02-26T09:15:00Z,,2021-02-26T18:44:00Z,2021-02-26T11:38:00Z,LOH-244,2021-02-27T15:44:00Z,2021-02-26T14:51:00Z,144.0
260,HK Scan Rauma,Sekatuote siipikarja luokka 3,12560kg,2021-02-26T08:49:00Z,,2021-02-26T11:14:00Z,2021-02-26T13:41:00Z,VZR-635,2021-02-26T15:52:00Z,2021-02-26T17:11:00Z,145.0
261,HK Scan Rauma,Sekatuote siipikarja luokka 3,13180kg,2021-02-26T12:08:00Z,,2021-02-26T13:40:00Z,2021-02-26T13:41:00Z,VZR-635,2021-02-26T15:52:00Z,2021-02-26T17:11:00Z,145.0
262,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,7820kg,2021-02-26T06:19:00Z,,2021-02-26T11:06:00Z,2021-02-27T10:21:00Z,LOH-244,2021-02-27T13:24:00Z,2021-02-27T13:24:00Z,146.0
263,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,11940kg,2021-02-26T18:44:00Z,,2021-02-27T10:22:00Z,2021-02-27T10:21:00Z,LOH-244,2021-02-27T13:24:00Z,2021-02-27T13:24:00Z,146.0
264,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,12640kg,2021-03-01T08:21:00Z,,2021-03-01T10:10:00Z,2021-03-01T12:51:00Z,JJV-660,2021-03-01T15:40:00Z,2021-03-01T16:08:00Z,147.0
265,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,13440kg,2021-03-01T04:33:00Z,2021-03-01T05:00:00Z,2021-03-01T08:15:00Z,2021-03-01T12:51:00Z,JJV-660,2021-03-01T15:40:00Z,2021-03-01T16:07:00Z,147.0
266,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,14260kg,2021-03-01T10:17:00Z,,2021-03-01T11:59:00Z,2021-03-01T12:51:00Z,JJV-660,2021-03-01T15:40:00Z,2021-03-01T15:40:00Z,147.0
267,HK Scan Rauma,Sekatuote siipikarja luokka 3,15020kg,2021-03-01T15:38:00Z,,2021-03-01T19:09:00Z,2021-03-01T19:12:00Z,JJV-660,2021-03-01T21:48:00Z,2021-03-01T21:28:00Z,148.0
268,HK Scan Rauma,Sekatuote siipikarja luokka 3,13580kg,2021-03-01T14:08:00Z,,2021-03-01T17:12:00Z,2021-03-01T19:13:00Z,JJV-660,2021-03-01T15:40:00Z,2021-03-01T21:29:00Z,148.0
269,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,14620kg,2021-03-01T15:33:00Z,,2021-03-01T17:25:00Z,2021-03-01T19:41:00Z,UBI-130,2021-03-01T23:22:00Z,2021-03-02T00:01:00Z,149.0
270,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,14440kg,2021-03-01T14:14:00Z,,2021-03-01T15:33:00Z,2021-03-01T19:41:00Z,UBI-130,2021-03-01T23:01:00Z,2021-03-02T00:00:00Z,149.0
271,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,14000kg,2021-03-01T12:05:00Z,,2021-03-01T14:14:00Z,2021-03-01T19:41:00Z,UBI-130,2021-03-01T22:33:00Z,2021-03-01T23:59:00Z,149.0
272,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,12180kg,2021-03-01T19:09:00Z,,2021-03-01T20:54:00Z,2021-03-02T08:45:00Z,IMV-333,2021-03-02T08:38:00Z,2021-03-02T12:54:00Z,150.0
273,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,14200kg,2021-03-01T17:25:00Z,,2021-03-01T19:09:00Z,2021-03-02T08:46:00Z,IMV-333,2021-03-02T08:38:00Z,2021-03-02T12:54:00Z,151.0
274,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,12860kg,2021-03-02T06:08:00Z,,2021-03-02T08:44:00Z,2021-03-02T11:31:00Z,NLZ-735,2021-03-02T14:02:00Z,2021-03-02T15:25:00Z,152.0
275,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,14380kg,2021-03-02T08:50:00Z,,2021-03-02T10:34:00Z,2021-03-02T14:51:00Z,LOH-244,2021-03-02T17:12:00Z,2021-03-02T17:30:00Z,153.0
276,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,13480kg,2021-03-02T12:30:00Z,,2021-03-02T14:20:00Z,2021-03-02T14:51:00Z,LOH-244,2021-03-02T17:12:00Z,2021-03-02T17:30:00Z,153.0
277,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,12940kg,2021-03-02T10:40:00Z,,2021-03-02T12:22:00Z,2021-03-02T14:51:00Z,LOH-244,2021-03-02T17:12:00Z,2021-03-02T17:31:00Z,153.0
278,HK Scan Rauma,Sekatuote siipikarja luokka 3,14960kg,2021-03-02T10:04:00Z,,2021-03-02T13:53:00Z,2021-03-02T15:23:00Z,VZR-635,2021-03-02T17:49:00Z,2021-03-02T18:23:00Z,154.0
279,HK Scan Rauma,Sekatuote siipikarja luokka 3,14640kg,2021-03-02T07:02:00Z,,2021-03-02T10:02:00Z,2021-03-02T15:23:00Z,VZR-635,2021-03-02T17:49:00Z,2021-03-02T18:23:00Z,154.0
280,HK Scan Rauma,Sekatuote siipikarja luokka 3,14340kg,2021-03-03T03:59:00Z,2021-03-03T04:00:00Z,2021-03-03T08:03:00Z,2021-03-03T12:33:00Z,NLZ-735,2021-03-03T14:53:00Z,2021-03-03T16:14:00Z,155.0
281,HK Scan Rauma,Sekatuote siipikarja luokka 3,12860kg,2021-03-03T08:55:00Z,,2021-03-03T10:30:00Z,2021-03-03T12:34:00Z,NLZ-735,2021-03-03T14:53:00Z,2021-03-03T16:15:00Z,155.0
282,HK Scan Rauma,Sekatuote siipikarja luokka 3,12540kg,2021-03-02T19:45:00Z,,2021-03-02T23:11:00Z,2021-03-03T12:34:00Z,NLZ-735,2021-03-03T14:53:00Z,2021-03-03T16:16:00Z,155.0
283,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,12760kg,2021-03-03T12:25:00Z,,2021-03-03T14:09:00Z,2021-03-03T15:36:00Z,JJV-660,2021-03-03T17:20:00Z,2021-03-03T18:14:00Z,156.0
284,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,12400kg,2021-03-02T19:49:00Z,,2021-03-03T06:12:00Z,2021-03-03T15:36:00Z,JJV-660,2021-03-03T17:47:00Z,2021-03-03T18:17:00Z,156.0
285,HK Scan Rauma,Sekatuote siipikarja luokka 3,12680kg,2021-03-03T12:19:00Z,,2021-03-03T14:07:00Z,2021-03-03T20:10:00Z,VZR-635,2021-03-03T23:00:00Z,2021-03-03T23:00:00Z,157.0
286,HK Scan Rauma,Sekatuote siipikarja luokka 3,14320kg,2021-03-03T14:15:00Z,,2021-03-03T16:57:00Z,2021-03-03T20:10:00Z,VZR-635,2021-03-03T22:36:00Z,2021-03-03T22:48:00Z,157.0
287,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,12940kg,2021-03-03T15:48:00Z,,2021-03-03T17:34:00Z,2021-03-03T20:12:00Z,JJV-660,2021-03-03T22:15:00Z,2021-03-03T22:34:00Z,158.0
288,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,13240kg,2021-03-03T17:34:00Z,,2021-03-03T19:15:00Z,2021-03-03T20:12:00Z,JJV-660,2021-03-03T22:26:00Z,2021-03-03T22:34:00Z,158.0
289,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,14120kg,2021-03-04T09:30:00Z,,2021-03-04T11:16:00Z,2021-03-04T15:20:00Z,JJV-660,2021-03-04T18:04:00Z,2021-03-04T18:20:00Z,159.0
290,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,13280kg,2021-03-04T07:02:00Z,,2021-03-04T09:23:00Z,2021-03-04T15:20:00Z,JJV-660,2021-03-04T18:04:00Z,2021-03-04T18:20:00Z,159.0
291,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,13760kg,2021-03-04T11:23:00Z,,2021-03-04T12:58:00Z,2021-03-04T15:21:00Z,JJV-660,2021-03-04T18:04:00Z,2021-03-04T18:20:00Z,159.0
292,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,14400kg,2021-03-04T16:23:00Z,,2021-03-04T18:22:00Z,2021-03-04T19:14:00Z,NLZ-735,2021-03-04T21:35:00Z,2021-03-05T00:21:00Z,160.0
293,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,15240kg,2021-03-04T18:22:00Z,,2021-03-05T06:44:00Z,2021-03-05T08:36:00Z,IMV-333,2021-03-04T18:51:00Z,2021-03-05T12:15:00Z,161.0
294,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,12180kg,2021-03-05T06:52:00Z,,2021-03-05T09:20:00Z,2021-03-05T12:27:00Z,LOH-244,2021-03-05T14:52:00Z,2021-03-05T15:49:00Z,162.0
295,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,9000kg,2021-03-05T06:52:00Z,,2021-03-06T06:38:00Z,2021-03-06T06:40:00Z,UBI-130,2021-03-06T08:33:00Z,2021-03-06T09:55:00Z,163.0
296,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,6940kg,2021-03-05T21:18:00Z,,2021-03-06T06:38:00Z,2021-03-06T06:40:00Z,UBI-130,2021-03-06T08:51:00Z,2021-03-06T09:54:00Z,163.0
297,HK Scan Rauma,Sekatuote siipikarja luokka 3,14280kg,2021-03-08T03:52:00Z,2021-03-08T04:00:00Z,2021-03-08T11:15:00Z,2021-03-08T13:34:00Z,VZR-635,2021-03-08T13:05:00Z,2021-03-08T15:54:00Z,164.0
298,HK Scan Rauma,"Varpaat, Siipikarja, Luokka 3",15140kg,2021-03-08T04:00:00Z,,2021-03-08T16:36:00Z,2021-03-08T20:53:00Z,VZR-635,2021-03-08T13:05:00Z,2021-03-08T23:35:00Z,165.0
299,HK Scan Rauma,Sekatuote siipikarja luokka 3,14340kg,2021-03-08T22:59:00Z,,2021-03-09T07:52:00Z,2021-03-09T01:25:00Z,JJV-660,2021-03-09T13:10:00Z,2021-03-09T13:18:00Z,166.0
300,HK Scan Rauma,Sekatuote siipikarja luokka 3,14260kg,2021-03-08T17:27:00Z,,2021-03-08T21:56:00Z,2021-03-09T01:25:00Z,JJV-660,2021-03-09T13:10:00Z,2021-03-09T13:32:00Z,166.0
301,HK Scan Rauma,Sekatuote siipikarja luokka 3,12060kg,2021-03-09T07:52:00Z,,2021-03-09T12:51:00Z,2021-03-09T13:19:00Z,VZR-635,2021-03-09T12:48:00Z,2021-03-09T15:53:00Z,167.0
302,HK Scan Rauma,Sekatuote siipikarja luokka 3,12500kg,2021-03-09T13:44:00Z,,2021-03-09T18:38:00Z,2021-03-09T18:05:00Z,JJV-660,2021-03-09T20:53:00Z,2021-03-09T21:14:00Z,168.0
303,HK Scan Rauma,Sekatuote siipikarja luokka 3,13040kg,2021-03-09T14:36:00Z,,2021-03-09T16:50:00Z,2021-03-09T18:05:00Z,JJV-660,2021-03-09T20:53:00Z,2021-03-09T21:34:00Z,168.0
304,HK Scan Rauma,Sekatuote siipikarja luokka 3,12280kg,2021-03-09T12:29:00Z,,2021-03-09T14:34:00Z,2021-03-09T18:05:00Z,JJV-660,2021-03-09T20:53:00Z,2021-03-09T21:20:00Z,168.0
305,HK Scan Rauma,Sekatuote siipikarja luokka 3,12940kg,2021-03-09T16:53:00Z,,2021-03-09T20:13:00Z,2021-03-09T21:35:00Z,VZR-635,2021-03-09T23:53:00Z,2021-03-10T00:16:00Z,169.0
306,HK Scan Rauma,"Varpaat, Siipikarja, Luokka 3",14200kg,2021-03-09T04:08:00Z,,2021-03-09T21:18:00Z,2021-03-09T21:36:00Z,VZR-635,2021-03-09T23:53:00Z,2021-03-10T00:48:00Z,169.0
307,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,12720kg,2021-03-09T11:09:00Z,,2021-03-09T12:15:00Z,2021-03-10T07:14:00Z,NLZ-735,2021-03-10T10:30:00Z,2021-03-10T11:18:00Z,170.0
308,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,13800kg,2021-03-09T17:47:00Z,,2021-03-09T19:41:00Z,2021-03-10T09:14:00Z,IMV-333,2021-03-10T09:14:00Z,2021-03-10T13:04:00Z,171.0
309,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,14160kg,2021-03-09T16:00:00Z,,2021-03-09T17:47:00Z,2021-03-10T09:15:00Z,IMV-333,2021-03-10T09:14:00Z,2021-03-10T13:05:00Z,172.0
310,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,14240kg,2021-03-09T13:01:00Z,,2021-03-09T13:54:00Z,2021-03-10T09:15:00Z,IMV-333,2021-03-10T09:14:00Z,2021-03-10T13:04:00Z,173.0
311,HK Scan Rauma,Sekatuote siipikarja luokka 3,12460kg,2021-03-10T08:28:00Z,,2021-03-10T12:43:00Z,2021-03-10T14:19:00Z,NLZ-735,2021-03-10T16:59:00Z,2021-03-10T18:26:00Z,174.0
312,HK Scan Rauma,Sekatuote siipikarja luokka 3,13100kg,2021-03-10T06:35:00Z,,2021-03-10T10:14:00Z,2021-03-10T14:19:00Z,NLZ-735,2021-03-10T16:59:00Z,2021-03-10T18:26:00Z,174.0
313,HK Scan Rauma,Sekatuote siipikarja luokka 3,12820kg,2021-03-09T22:42:00Z,,2021-03-10T08:28:00Z,2021-03-10T14:19:00Z,NLZ-735,2021-03-10T16:59:00Z,2021-03-10T18:26:00Z,174.0
314,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,13360kg,2021-03-10T14:11:00Z,,2021-03-10T15:55:00Z,2021-03-10T17:41:00Z,LOH-244,2021-03-10T19:35:00Z,2021-03-10T20:32:00Z,175.0
315,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,13240kg,2021-03-10T10:29:00Z,,2021-03-10T12:20:00Z,2021-03-10T17:41:00Z,LOH-244,2021-03-10T19:48:00Z,2021-03-10T20:33:00Z,175.0
316,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,12920kg,2021-03-10T12:20:00Z,,2021-03-10T14:03:00Z,2021-03-10T17:41:00Z,LOH-244,2021-03-10T20:14:00Z,2021-03-10T20:34:00Z,175.0
317,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,13880kg,2021-03-10T19:22:00Z,,2021-03-11T08:12:00Z,2021-03-11T09:29:00Z,IMV-333,2021-03-11T09:27:00Z,2021-03-11T12:16:00Z,176.0
318,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,13580kg,2021-03-08T05:26:00Z,,2021-03-11T08:12:00Z,2021-03-11T09:30:00Z,IMV-333,2021-03-11T09:27:00Z,2021-03-11T12:34:00Z,177.0
319,HK Scan Rauma,Sekatuote siipikarja luokka 3,14380kg,2021-03-11T05:39:00Z,,2021-03-11T10:06:00Z,2021-03-11T11:48:00Z,NLZ-735,2021-03-11T14:11:00Z,2021-03-11T15:04:00Z,178.0
320,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,13580kg,2021-03-10T17:44:00Z,,2021-03-10T19:22:00Z,2021-03-11T12:19:00Z,LOH-244,2021-03-11T15:46:00Z,2021-03-11T16:04:00Z,179.0
321,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,14360kg,2021-03-11T10:46:00Z,,2021-03-11T11:56:00Z,2021-03-11T18:07:00Z,LOH-244,2021-03-11T20:39:00Z,2021-03-11T20:53:00Z,180.0
322,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,13480kg,2021-03-11T15:09:00Z,,2021-03-11T16:47:00Z,2021-03-11T19:29:00Z,UBI-130,2021-03-11T22:07:00Z,2021-03-12T00:41:00Z,181.0
323,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,15480kg,2021-03-11T08:17:00Z,,2021-03-12T07:12:00Z,2021-03-12T11:37:00Z,JJV-660,2021-03-12T15:04:00Z,2021-03-12T15:18:00Z,182.0
324,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,14340kg,2021-03-12T14:39:00Z,,2021-03-12T16:32:00Z,2021-03-12T17:16:00Z,JJV-660,2021-03-12T19:43:00Z,2021-03-12T20:05:00Z,183.0
325,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,14940kg,2021-03-12T10:54:00Z,,2021-03-12T12:48:00Z,2021-03-12T17:18:00Z,JJV-660,2021-03-12T19:43:00Z,2021-03-12T20:06:00Z,183.0
326,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,14120kg,2021-03-12T07:13:00Z,,2021-03-12T09:04:00Z,2021-03-12T17:18:00Z,JJV-660,2021-03-12T19:43:00Z,2021-03-12T20:06:00Z,183.0
327,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,14940kg,2021-03-12T16:32:00Z,,2021-03-12T18:24:00Z,2021-03-13T16:30:00Z,TLY-876,2021-03-13T18:31:00Z,2021-03-13T19:53:00Z,184.0
328,HK Scan Rauma,Sekatuote siipikarja luokka 3,14480kg,2021-03-15T09:22:00Z,,2021-03-15T11:16:00Z,2021-03-15T13:52:00Z,NLZ-735,2021-03-15T15:56:00Z,2021-03-15T17:54:00Z,185.0
329,HK Scan Rauma,Sekatuote siipikarja luokka 3,13680kg,2021-03-15T04:00:00Z,,2021-03-15T09:22:00Z,2021-03-15T13:59:00Z,NLZ-735,2021-03-15T15:56:00Z,2021-03-15T17:53:00Z,185.0
330,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,15940kg,2021-03-15T21:04:00Z,,2021-03-16T05:13:00Z,2021-03-16T08:27:00Z,IMV-333,2021-03-16T08:24:00Z,2021-03-16T11:39:00Z,186.0
331,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,12280kg,2021-03-15T19:37:00Z,,2021-03-15T21:04:00Z,2021-03-16T08:27:00Z,IMV-333,2021-03-16T08:24:00Z,2021-03-16T11:39:00Z,187.0
332,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,15020kg,2021-03-15T17:45:00Z,,2021-03-15T19:37:00Z,2021-03-16T08:28:00Z,IMV-333,2021-03-16T08:24:00Z,2021-03-16T11:40:00Z,188.0
333,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,13940kg,2021-03-16T08:32:00Z,,2021-03-16T10:21:00Z,2021-03-16T12:50:00Z,LOH-244,2021-03-16T15:02:00Z,2021-03-16T15:22:00Z,189.0
334,HK Scan Rauma,Sekatuote siipikarja luokka 3,13980kg,2021-03-16T06:32:00Z,,2021-03-16T10:59:00Z,2021-03-16T13:27:00Z,NLZ-735,2021-03-16T15:20:00Z,2021-03-16T16:21:00Z,190.0
335,HK Scan Rauma,Sekatuote siipikarja luokka 3,13600kg,2021-03-16T06:23:00Z,,2021-03-16T08:38:00Z,2021-03-16T13:28:00Z,NLZ-735,2021-03-16T15:20:00Z,2021-03-16T16:22:00Z,190.0
336,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,13500kg,2021-03-16T17:24:00Z,,2021-03-16T19:06:00Z,2021-03-17T09:11:00Z,IMV-333,2021-03-17T11:26:00Z,2021-03-17T12:40:00Z,191.0
337,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,13840kg,2021-03-16T19:06:00Z,,2021-03-17T07:25:00Z,2021-03-17T09:11:00Z,IMV-333,2021-03-17T11:26:00Z,2021-03-17T12:40:00Z,191.0
338,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,13460kg,2021-03-16T15:45:00Z,,2021-03-16T17:24:00Z,2021-03-17T09:11:00Z,IMV-333,2021-03-17T11:26:00Z,2021-03-17T12:40:00Z,191.0
339,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,17720kg,2021-03-17T07:26:00Z,,2021-03-17T10:23:00Z,2021-03-17T13:05:00Z,JJV-660,2021-03-17T15:44:00Z,2021-03-17T16:54:00Z,192.0
340,HK Scan Rauma,Sekatuote siipikarja luokka 3,13420kg,2021-03-17T20:39:00Z,,2021-03-18T07:27:00Z,2021-03-18T09:53:00Z,JJV-660,2021-03-18T11:58:00Z,2021-03-18T13:32:00Z,193.0
341,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,13900kg,2021-03-17T17:38:00Z,,2021-03-17T19:29:00Z,2021-03-18T10:02:00Z,IMV-333,2021-03-18T13:12:00Z,2021-03-18T13:14:00Z,194.0
342,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,13580kg,2021-03-17T19:29:00Z,,2021-03-18T05:36:00Z,2021-03-18T10:02:00Z,IMV-333,2021-03-18T12:01:00Z,2021-03-18T13:14:00Z,194.0
343,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,14020kg,2021-03-17T15:25:00Z,,2021-03-17T17:38:00Z,2021-03-18T10:02:00Z,IMV-333,2021-03-18T12:01:00Z,2021-03-18T13:14:00Z,194.0
344,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,13420kg,2021-03-18T05:43:00Z,,2021-03-18T08:37:00Z,2021-03-18T11:24:00Z,NLZ-735,2021-03-18T14:26:00Z,2021-03-18T14:26:00Z,195.0
345,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,14440kg,2021-03-18T10:27:00Z,,2021-03-18T12:06:00Z,2021-03-18T16:02:00Z,VZR-635,2021-03-18T16:01:00Z,2021-03-18T21:59:00Z,196.0
346,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,13500kg,2021-03-18T12:13:00Z,,2021-03-18T13:52:00Z,2021-03-18T16:02:00Z,VZR-635,2021-03-18T16:01:00Z,2021-03-18T21:59:00Z,197.0
347,HK Scan Rauma,Sekatuote siipikarja luokka 3,14280kg,2021-03-18T09:41:00Z,,2021-03-18T13:42:00Z,2021-03-18T16:23:00Z,JJV-660,2021-03-18T16:24:00Z,2021-03-18T18:54:00Z,198.0
348,HK Scan Rauma,Sekatuote siipikarja luokka 3,14360kg,2021-03-18T07:37:00Z,,2021-03-18T12:06:00Z,2021-03-18T16:23:00Z,JJV-660,2021-03-18T16:24:00Z,2021-03-18T18:42:00Z,198.0
349,HK Scan Rauma,Sekatuote siipikarja luokka 3,14320kg,2021-03-18T06:13:00Z,,2021-03-18T09:39:00Z,2021-03-18T16:23:00Z,JJV-660,2021-03-18T16:24:00Z,2021-03-18T18:26:00Z,198.0
350,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,14080kg,2021-03-18T17:17:00Z,,2021-03-18T19:01:00Z,2021-03-18T21:19:00Z,JJV-660,2021-03-18T23:11:00Z,2021-03-18T23:25:00Z,199.0
351,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,13920kg,2021-03-18T15:28:00Z,,2021-03-18T17:17:00Z,2021-03-18T21:20:00Z,JJV-660,2021-03-18T23:11:00Z,2021-03-18T23:46:00Z,199.0
352,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,13720kg,2021-03-18T13:52:00Z,,2021-03-18T15:28:00Z,2021-03-18T21:21:00Z,JJV-660,2021-03-18T23:11:00Z,2021-03-19T00:10:00Z,199.0
353,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,17040kg,2021-03-18T19:02:00Z,,2021-03-19T07:56:00Z,2021-03-19T08:31:00Z,IMV-333,2021-03-19T08:30:00Z,2021-03-19T11:47:00Z,200.0
354,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,12600kg,2021-03-17T15:54:00Z,,2021-03-19T07:56:00Z,2021-03-19T08:31:00Z,IMV-333,2021-03-19T08:30:00Z,2021-03-19T11:48:00Z,201.0
355,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,13500kg,2021-03-19T09:57:00Z,,2021-03-19T11:22:00Z,2021-03-19T11:33:00Z,VZR-635,2021-03-19T13:29:00Z,2021-03-19T13:46:00Z,202.0
356,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,14060kg,2021-03-19T08:05:00Z,,2021-03-19T09:50:00Z,2021-03-19T11:33:00Z,VZR-635,2021-03-19T13:29:00Z,2021-03-19T13:36:00Z,202.0
357,HK Scan Rauma,Sekatuote siipikarja luokka 3,12540kg,2021-03-19T16:53:00Z,,2021-03-19T22:51:00Z,2021-03-19T23:08:00Z,VZR-635,2021-03-20T01:30:00Z,2021-03-20T01:32:00Z,203.0
358,HK Scan Rauma,Sekatuote siipikarja luokka 3,10580kg,2021-03-19T20:15:00Z,,2021-03-19T22:51:00Z,2021-03-19T23:08:00Z,VZR-635,2021-03-20T01:01:00Z,2021-03-20T01:15:00Z,203.0
359,HK Scan Rauma,"Varpaat, Siipikarja, Luokka 3",17980kg,2021-03-19T04:46:00Z,,2021-03-19T20:00:00Z,2021-03-19T23:09:00Z,VZR-635,2021-03-20T01:21:00Z,2021-03-20T01:19:00Z,203.0
360,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,13740kg,2021-03-22T05:18:00Z,,2021-03-22T08:09:00Z,2021-03-22T10:29:00Z,IMV-333,2021-03-22T13:00:00Z,2021-03-22T13:51:00Z,204.0
361,HK Scan Rauma,Sekatuote siipikarja luokka 3,14040kg,2021-03-22T08:27:00Z,,2021-03-22T13:02:00Z,2021-03-22T13:36:00Z,VZR-635,2021-03-22T15:37:00Z,2021-03-22T16:45:00Z,205.0
362,HK Scan Rauma,Sekatuote siipikarja luokka 3,13560kg,2021-03-22T08:20:00Z,,2021-03-22T10:19:00Z,2021-03-22T13:37:00Z,VZR-635,2021-03-22T16:16:00Z,2021-03-22T16:46:00Z,205.0
363,HK Scan Rauma,Sekatuote siipikarja luokka 3,13960kg,2021-03-22T04:16:00Z,,2021-03-22T08:21:00Z,2021-03-22T13:37:00Z,VZR-635,2021-03-22T15:56:00Z,2021-03-22T16:46:00Z,205.0
