,SH,Category,Weight,Filling start,Alt filling start,Filling end,Pickup,Plate,Arrival,Unload,trip_id
25,HK Scan Rauma,"Varpaat, Siipikarja, Luokka 3",15220kg,2021-01-08T04:08:00Z,,2021-01-08T23:20:00Z,2021-01-08T23:21:00Z,LOH-244,2021-01-09T01:25:00Z,2021-01-09T02:32:00Z,13.0
26,HK Scan Rauma,Sekatuote siipikarja luokka 3,14320kg,2021-01-11T04:03:00Z,,2021-01-11T09:46:00Z,2021-01-11T10:14:00Z,LOH-244,2021-01-11T13:15:00Z,2021-01-11T14:42:00Z,14.0
27,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,15640kg,2021-01-08T07:15:00Z,,2021-01-11T10:57:00Z,2021-01-11T13:03:00Z,JJV-660,2021-01-11T15:45:00Z,2021-01-11T16:14:00Z,15.0
28,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,14540kg,2021-01-11T09:09:00Z,,2021-01-11T10:57:00Z,2021-01-11T13:03:00Z,JJV-660,2021-01-11T15:25:00Z,2021-01-11T16:14:00Z,15.0
29,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,13080kg,2021-01-11T10:58:00Z,,2021-01-11T12:30:00Z,2021-01-11T13:03:00Z,JJV-660,2021-01-11T15:07:00Z,2021-01-11T16:13:00Z,15.0
30,HK Scan Rauma,Sekatuote siipikarja luokka 3,13920kg,2021-01-11T13:35:00Z,,2021-01-11T15:54:00Z,2021-01-11T16:55:00Z,LOH-244,2021-01-11T18:51:00Z,2021-01-11T19:33:00Z,16.0
31,HK Scan Rauma,Sekatuote siipikarja luokka 3,15640kg,2021-01-11T04:03:00Z,,2021-01-11T10:10:00Z,2021-01-11T16:56:00Z,LOH-244,2021-01-11T19:03:00Z,2021-01-11T19:33:00Z,16.0
32,HK Scan Rauma,Sekatuote siipikarja luokka 3,14780kg,2021-01-11T10:20:00Z,,2021-01-11T13:32:00Z,2021-01-11T16:56:00Z,LOH-244,2021-01-11T19:12:00Z,2021-01-11T19:33:00Z,16.0
33,HK Scan Rauma,Sekatuote siipikarja luokka 3,13460kg,2021-01-11T10:20:00Z,,2021-01-11T13:52:00Z,2021-01-11T19:00:00Z,JJV-660,2021-01-11T21:35:00Z,2021-01-11T22:32:00Z,17.0
34,HK Scan Rauma,Sekatuote siipikarja luokka 3,14440kg,2021-01-11T13:54:00Z,,2021-01-11T17:16:00Z,2021-01-11T19:00:00Z,JJV-660,2021-01-11T21:11:00Z,2021-01-11T22:32:00Z,17.0
35,HK Scan Rauma,Sekatuote siipikarja luokka 3,14180kg,2021-01-11T15:56:00Z,,2021-01-11T20:48:00Z,2021-01-11T22:00:00Z,LOH-244,2021-01-12T00:44:00Z,2021-01-12T02:25:00Z,18.0
36,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,13380kg,2021-01-15T05:43:00Z,,2021-01-15T05:43:00Z,2021-01-12T09:55:00Z,IMV-333,2021-01-12T13:01:00Z,2021-01-12T14:07:00Z,19.0
37,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,12080kg,2021-01-11T17:29:00Z,,2021-01-12T06:48:00Z,2021-01-12T09:56:00Z,IMV-333,2021-01-12T13:01:00Z,2021-01-12T14:21:00Z,19.0
38,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,12960kg,2021-01-11T10:58:00Z,,2021-01-12T06:48:00Z,2021-01-12T09:56:00Z,IMV-333,2021-01-12T13:01:00Z,2021-01-12T14:22:00Z,19.0
39,HK Scan Rauma,Sekatuote siipikarja luokka 3,14320kg,2021-01-12T13:35:00Z,,2021-01-12T16:26:00Z,2021-01-12T20:02:00Z,TLY-876,2021-01-16T00:02:00Z,2021-01-13T07:19:00Z,20.0
40,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,13120kg,2021-01-12T18:12:00Z,,2021-01-13T06:51:00Z,2021-01-13T11:15:00Z,IMV-333,2021-01-13T15:10:00Z,2021-01-13T16:45:00Z,21.0
41,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,14020kg,2021-01-12T16:32:00Z,,2021-01-12T18:12:00Z,2021-01-13T11:16:00Z,IMV-333,2021-01-13T16:00:00Z,2021-01-13T16:45:00Z,21.0
42,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,13680kg,2021-01-12T14:39:00Z,,2021-01-12T16:32:00Z,2021-01-13T11:16:00Z,IMV-333,2021-01-13T16:14:00Z,2021-01-13T16:46:00Z,21.0
43,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,13860kg,2021-01-13T10:09:00Z,,2021-01-13T11:52:00Z,2021-01-13T12:06:00Z,NLZ-735,2021-01-13T15:27:00Z,2021-01-13T17:38:00Z,22.0
44,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,13800kg,2021-01-12T07:04:00Z,,2021-01-13T09:59:00Z,2021-01-13T12:06:00Z,NLZ-735,2021-01-13T15:27:00Z,2021-01-13T17:39:00Z,22.0
45,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,13220kg,2021-01-13T06:59:00Z,,2021-01-13T09:59:00Z,2021-01-13T12:06:00Z,NLZ-735,2021-01-13T15:27:00Z,2021-01-13T17:38:00Z,22.0
